DANIELI,Masculino,42152,531
DANIELLA,Feminino,8152,27
DANIELLE,Feminino,35814,178
DANIELLI,Feminino,4632,29
DANIELLY,Feminino,7203,26
DANIELY,Feminino,5422,41
DANILO,Masculino,1474,231855
DANIZA,Feminino,71,
DANNIELY,Feminino,112,
DANTE,Masculino,23,4339
DANUBIA,Masculino,11218,37
DANUSA,Feminino,2787,
DANUSIA,Feminino,929,
DANUZA,Feminino,1863,
DANYELE,Feminino,394,
DANYELLE,Feminino,918,
DARACI,Feminino,75,
DARCI,Masculino,20941,42379
DARCIA,Feminino,540,
DARCIANE,Feminino,550,
DARCILIA,Feminino,858,
DARCY,Masculino,4308,4428
DARIANE,Feminino,3468,25
DARIANNE,Feminino,27,
DARIENE,Feminino,252,
DARIL,Masculino,0,783
DARINE,Feminino,145,
DARIO,Feminino,95,30938
DARK,Masculino,172,98
DARLAN,Feminino,273,25149
DARLENE,Feminino,20456,107
DARLON,Masculino,0,1607
DAUGIZA,Feminino,40,
DAVI,Masculino,1888,254088
DAVIANE,Feminino,540,
DAVID,Masculino,1150,173807
