frequency_female;frequency_male;name
56;0;CLAUDENILCE
61804;329;CLAUDETE
136;0;CLAUDETH
232;0;CLAUDETTE
358175;1319;CLAUDIA
24655;192;CLAUDIANE
923;25;CLAUDICE
2160;0;CLAUDICEIA
157;0;CLAUDILENA
7798;56;CLAUDILENE
717;0;CLAUDIMARA
0;1143;CLAUDIMIRO
1438;682;CLAUDINE
1148;0;CLAUDINEA
1199;74264;CLAUDINEI
31448;99;CLAUDINEIA
64;0;CLAUDINELI
4737;54;CLAUDINETE
0;25;CLAUDINIS
0;1088;CLAUDINOR
1603;350428;CLAUDIO
0;2857;CLAUDIOMIR
20;1743;CLAUDIONEI
24;707;CLAUDIONIR
71;24125;CLAUDIONOR
1851;0;CLAUDIRENE
0;60;CLAUSON
119;0;CLAUTIDES
62;13755;CLAYTON
7925;23;CLEA
523;102878;CLEBER
99;19917;CLEBERSON
7811;138;CLECI
649;668;CLEDIR
24310;60;CLEIA
105492;881;CLEIDE
255;0;CLEIDEMARA
123;23;CLEIDENIR
1908;95;CLEIDI
3212;0;CLEIDIANA
1393;0;CLEIDINEIA
24;0;CLEILI
139;0;CLEIMARA
0;156;CLEINTON
148;0;CLEIRI
2439;67;CLEISE
89;13663;CLEISON
748;128738;CLEITON
536;0;CLEIVA
11389;29;CLELIA
745;26;CLEMAIR
5613;21;CLEMENCIA
79;10482;CLEMENTE
12674;40;CLEMILDA
25;4146;CLEMILSON
68;0;CLEMINDA
257;687;CLEMIR
1533;0;CLENICE
29;0;CLENIZE
353;89;CLEOCI
774;0;CLEODETE
2916;10148;CLEOMAR
1268;0;CLEOMARA
991;2094;CLEONE
30;177;CLEONEI
1347;703;CLEONI
90779;310;CLEONICE
2194;0;CLEONILDA
0;772;CLEONILSON
1130;1182;CLEONIR
202;0;CLEONIRA
37;419;CLEOSMAR
142;38;CLER
1025;191;CLERI
5841;0;CLERIA
36;0;CLERITA
45;11004;CLESIO
0;270;CLEUCIO
1342;1111;CLEUDIMAR
36;0;CLEUDITE
76;0;CLEUMIRA
13844;44;CLEUNICE
0;21;CLEUNILTON
76538;156;CLEUSA
277;0;CLEUSENI
49893;112;CLEUZA
183;0;CLEUZI
250;71;CLEUZIMAR
37;2153;CLEVER
78;18995;CLEVERSON
0;141;CLEVERSSON
224;0;CLEYCE
56;9629;CLEYTON
3661;0;CLICIA
0;75;CLODEMIR
66;25102;CLODOALDO
0;1869;CLODOMIRO
342;0;CLONICE
9103;86;CLOTILDE
101;48260;CLOVIS
102585;1537;CONCEICAO
5400;66;CONSUELO
885;0;CORA
137;0;CORINE
0;39;CORNELIS
196;0;CRECIA
1038;0;CREUNICE
24781;60;CREUSA
170;0;CREUZELI
33;0;CRHISTINA
3138;1130;CRIS
145;0;CRISCIELE
24517;90;CRISLAINE
1528;0;CRISLAYNE
1373;536;CRISLEI
4132;0;CRISLENE
0;78;CRISTHIAM
64;2835;CRISTHIAN
797;0;CRISTHIANE
24;0;CRISTHYANE
102;3038;CRISTIAM
2667;77504;CRISTIAN
39704;251;CRISTIANA
327248;1542;CRISTIANE
4430;115;CRISTIANI
543;0;CRISTIANNE
1507;194300;CRISTIANO
583;0;CRISTIANY
5962;33;CRISTIELE
192208;490;CRISTINA
9735;51;CRISTINE
41;12675;CRISTOVAO
0;87;CRIZANTO
127;0;CRYSTIANE
0;42;CRYSTIANO
547;0;CYBELE
77;0;CYBELI
516;0;CYBELLE
125;0;CYLENE
4836;0;CYNTHIA
2475;0;CYNTIA
0;1077;CYRO
65;0;DAEANE
9449;1396;DAGMAR
73147;238;DAIANA
243820;1009;DAIANE
4531;0;DAIANI
754;0;DAIANNE
188;37;DAILI
840;2026;DAIR
1965;0;DAISA
7864;37;DAISE
689;0;DAISI
4917;27;DAISY
1951;1226;DALCI
93;0;DALCIA
499;0;DALICE
27549;101;DALILA
156;638;DALMI
303;0;DALTIVA
45;8756;DALTON
481;0;DALUZ
83485;330;DALVA
514;0;DALVANICE
8437;30;DALVINA
0;1676;DALVINO
0;1650;DALVO
0;39;DALZIR
7409;131;DAMARES
9407;120;DAMARIS
0;2321;DAMASIO
48290;174;DAMIANA
612;0;DAMILA
67;0;DANARA
1295;27;DANIANE
4811;706527;DANIEL
302915;1395;DANIELA
251469;2052;DANIELE
42152;531;DANIELI
8152;27;DANIELLA
35814;178;DANIELLE
4632;29;DANIELLI
7203;26;DANIELLY
5422;41;DANIELY
1474;231855;DANILO
71;0;DANIZA
112;0;DANNIELY
23;4339;DANTE
11218;37;DANUBIA
2787;0;DANUSA
929;0;DANUSIA
1863;0;DANUZA
394;0;DANYELE
918;0;DANYELLE
75;0;DARACI
20941;42379;DARCI
540;0;DARCIA
550;0;DARCIANE
858;0;DARCILIA
4308;4428;DARCY
3468;25;DARIANE
27;0;DARIANNE
252;0;DARIENE
0;783;DARIL
145;0;DARINE
95;30938;DARIO
172;98;DARK
273;25149;DARLAN
20456;107;DARLENE
0;1607;DARLON
40;0;DAUGIZA
1888;254088;DAVI
540;0;DAVIANE
1150;173807;DAVID
6067;0;DAVINA
11745;27;DAYANA
37577;141;DAYANE
2788;0;DAYANNE
